Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,57.07,55.371,63.662,63.911,64.203,64.472,63.152,64.391,64.192,65,65.772,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,76.094,77.317,80.407,79.988,79.994,80.09,80.296,79.725,78.05,79.316,80.799,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,52.796,51.393,58.281,58.814,59.315,59.795,60.274,60.14,60.29,61.562,61.944,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,72.1704878048781,72.8078048780488,77.2756097560976,77.9219512195122,77.7268292682927,77.919512195122,78.2243902439024,77.5243902439024,76.4243902439025,77.5756097560976,78.4731707317073,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,73.823,75.922,77.745,77.571,77.3,77.426,77.413,77.407,73.201,77.629,78.085,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,72.439,73.283,76.482,76.322,76.423,76.493,76.492,76.501,75.686,76.729,76.8,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,76.044,77.9,81.464,81.534,81.543,81.556,81.454,81.23,80.573,80.434,81.648,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czechia,CZE,71.3839024390244,74.9682926829268,78.5780487804878,79.0268292682927,78.9780487804878,79.0292682926829,79.2292682926829,78.2268292682927,77.2219512195122,78.9292682926829,79.8780487804878,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,74.8053658536585,76.5926829268293,80.7024390243902,80.8536585365854,81.1024390243903,80.9536585365854,81.4512195121951,81.6024390243903,81.4048780487805,81.3048780487805,81.8536585365854,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,55.469,56.734,62.833,63.335,63.71,64.105,64.381,64.2,63.83,65.54,65.987,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,70.471,71.715,69.968,71.189,68.62,71.378,71.305,71.269,69.832,71.081,71.132,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,67.746,70.365,72.982,72.889,73.37,73.555,73.112,72.636,71.757,74.211,73.72,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,68.445,72.09,76.222,76.094,76.22,77.248,77.286,72.004,72.746,76.577,77.392,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,62.513,67.332,70.135,70.437,70.709,70.974,71.213,69.79,68.976,71.01,71.633,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,61.981,67.711,70.952,70.908,71.007,71.384,71.725,70.244,69.941,71.969,72.099,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,51.397,53.395,60.635,61.081,61.481,61.915,62.297,62.141,62.447,63.355,63.707,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,49.733,56.285,65.909,66.242,66.612,66.979,67.306,66.98,66.94,67.789,68.624,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,69.4756097560976,70.4170731707317,77.590243902439,77.6414634146342,78.0926829268293,78.2439024390244,78.6463414634147,78.5951219512195,76.9439024390244,77.8439024390244,78.490243902439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,61.167,47.627,54.941,56.228,57.574,58.707,59.85,59.862,58.228,63.028,64.123,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,45.117,50.88,63.592,64.162,64.766,65.257,65.741,65.969,65.33,66.897,67.315,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,76.1146341463415,78.3829268292683,81.7926829268293,81.9926829268293,82.1439024390244,82.2926829268293,82.4439024390244,82.6439024390244,82.8439024390244,82.9439024390244,83.1439024390244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,65.056,66.194,66.48,66.657,67.06,66.965,67.009,66.924,64.904,67.148,67.316,..
